Id,EpiOrStroma
0,2
1,1
2,2
3,2
4,2
5,2
6,1
7,1
8,2
9,2
10,2
11,2
12,2
13,1
14,1
15,1
16,1
17,1
18,2
19,1
20,2
21,1
22,1
23,1
24,1
25,2
26,1
27,2
28,2
29,2
30,2
31,2
32,2
33,2
34,2
35,2
36,2
37,2
38,2
39,2
40,1
41,1
42,2
43,2
44,2
45,1
46,1
47,2
48,2
49,2
50,1
51,2
52,1
53,1
54,2
55,2
56,1
57,2
58,2
59,2
60,2
61,2
62,1
63,1
64,2
65,2
66,2
67,2
68,1
69,2
70,2
71,2
72,1
73,1
74,1
75,1
76,2
77,1
78,1
79,1
80,2
81,2
82,1
83,2
84,2
85,2
86,1
87,2
88,2
89,2
90,1
91,2
92,1
93,2
94,2
95,2
96,1
97,1
98,2
99,1
100,2
101,1
102,2
103,1
104,1
105,2
106,2
107,1
108,2
109,2
110,1
111,1
112,2
113,2
114,2
115,2
116,1
117,2
118,2
119,1
120,2
121,2
122,2
123,1
124,1
125,1
126,2
127,1
128,1
129,2
130,1
131,2
132,2
133,2
134,2
135,1
136,2
137,2
138,1
139,2
140,2
141,2
142,2
143,1
144,1
145,1
146,2
147,2
148,2
149,1
150,2
151,2
152,2
153,2
154,1
155,1
156,1
157,1
158,1
159,1
160,1
161,2
162,1
163,2
164,1
165,1
166,1
167,1
168,1
169,2
170,2
171,2
172,2
173,2
174,1
175,2
176,2
177,2
178,2
179,1
180,2
181,2
182,2
183,2
184,2
185,1
186,2
187,2
188,2
189,1
190,1
191,1
192,2
193,2
194,2
195,2
196,1
197,2
198,2
199,1
200,2
201,1
202,2
203,1
204,1
205,2
206,1
207,1
208,1
209,1
210,1
211,1
212,1
213,2
214,1
215,2
216,1
217,2
218,1
219,2
220,2
221,2
222,2
223,1
224,1
225,2
226,1
227,2
228,2
229,1
230,2
231,1
232,2
233,2
234,2
235,1
236,2
237,1
238,1
239,1
240,2
241,2
242,2
243,1
244,2
245,2
246,1
247,2
248,1
249,1
250,2
251,1
252,1
253,2
254,2
255,1
256,2
257,1
258,1
259,2
260,2
261,2
262,2
263,1
264,1
265,2
266,1
267,1
268,1
269,2
270,2
271,1
272,2
273,2
274,1
275,2
276,2
277,2
278,1
279,1
280,2
281,2
282,2
283,1
284,2
285,1
286,1
287,1
288,1
289,2
290,2
291,1
292,1
293,2
294,2
295,2
296,1
297,2
298,2
299,1
300,2
301,2
302,2
303,2
304,2
305,2
306,1
307,2
308,2
309,2
310,2
311,1
312,1
313,2
314,1
315,1
316,2
317,1
318,1
319,2
320,2
321,2
322,1
323,1
324,1
325,1
326,2
327,2
328,1
329,2
330,2
331,2
332,2
333,2
334,2
335,2
336,2
337,1
338,2
339,2
340,2
341,2
342,1
343,1
344,2
345,2
346,2
347,1
348,2
349,2
350,1
351,1
352,1
353,2
354,2
355,2
356,2
357,1
358,2
359,2
360,1
361,2
362,2
363,2
364,1
365,2
366,1
367,2
368,2
369,1
370,1
371,2
372,1
373,2
374,2
375,2
376,2
377,2
378,2
379,2
380,1
381,2
382,1
383,1
384,2
385,1
386,1
387,2
388,2
389,2
390,2
391,1
392,1
393,2
394,2
395,1
396,1
397,2
398,2
399,1
400,1
401,2
402,2
403,2
404,2
405,1
406,2
407,2
408,2
409,2
410,2
411,2
412,1
413,2
414,2
415,2
416,1
417,2
418,1
419,1
420,1
421,2
422,1
423,2
424,1
425,1
426,2
427,2
428,1
429,2
430,1
431,1
432,2
433,1
434,1
435,2
436,2
437,2
438,2
439,1
440,1
441,2
442,1
443,2
444,2
445,2
446,1
447,1
448,2
449,2
450,2
451,2
452,2
453,1
454,2
455,1
456,2
457,2
458,2
459,1
460,1
461,1
462,2
463,2
464,1
465,2
466,2
467,1
468,2
469,1
470,2
471,1
472,2
473,1
474,1
475,2
476,1
477,2
478,2
479,2
480,2
481,1
482,1
483,2
484,1
485,1
486,2
487,1
488,2
489,1
490,1
491,2
492,2
493,2
494,1
495,1
496,1
497,2
498,2
499,2
500,2
501,2
502,2
503,1
504,1
505,2
506,2
507,1
508,2
509,2
510,1
511,2
512,2
513,1
514,2
515,2
516,2
517,2
518,1
519,2
520,2
521,2
522,1
523,2
524,1
525,2
526,2
527,1
528,1
529,2
530,1
531,2
532,2
533,2
534,2
535,2
536,1
537,2
538,2
539,2
540,1
541,2
542,1
543,1
544,2
545,2
546,2
547,1
548,1
549,2
550,2
551,2
552,2
553,2
554,2
555,2
556,1
557,2
558,1
559,2
560,1
561,2
562,2
563,1
564,1
565,2
566,1
567,2
568,2
569,2
570,1
571,1
572,2
573,2
574,2
575,1
576,2
577,1
578,2
579,2
580,1
581,2
582,1
583,1
584,1
585,2
586,2
587,1
588,1
589,2
590,1
591,2
592,2
593,2
594,2
595,2
596,1
597,2
598,2
599,2
600,2
601,2
602,2
603,1
604,1
605,2
606,2
607,2
608,1
609,1
610,1
611,2
612,2
613,2
614,2
615,2
616,2
617,2
618,2
619,1
620,2
621,2
622,2
623,2
624,1
625,2
626,1
627,2
628,1
629,1
630,2
631,2
632,1
633,2
634,2
635,1
636,1
637,2
638,2
639,1
640,2
641,2
642,2
643,2
644,1
645,2
646,2
647,2
648,1
649,2
650,1
651,1
652,1
653,1
654,2
655,2
656,1
657,2
658,2
659,2
660,2
661,1
662,2
663,2
664,1
665,2
666,2
667,1
668,2
669,2
670,1
671,2
672,2
673,2
674,1
675,1
676,1
677,1
678,1
679,2
680,1
681,1
682,2
683,2
684,1
685,2
686,2
687,2
688,2
689,2
690,2
691,2
692,1
693,2
694,1
695,2
696,1
697,2
698,1
699,2
700,2
701,2
702,1
703,2
704,2
705,1
706,1
707,1
708,2
709,2
710,1
711,2
712,2
713,2
714,2
715,2
716,2
717,1
718,2
719,1
720,2
721,2
722,1
723,1
724,1
725,2
726,2
727,1
728,1
