Id,EpiOrStroma
0,2
1,1
2,1
3,1
4,2
5,2
6,1
7,1
8,2
9,1
10,1
11,1
12,2
13,1
14,2
15,1
16,1
17,1
18,2
19,1
20,2
21,1
22,1
23,1
24,1
25,2
26,2
27,2
28,1
29,2
30,1
31,1
32,2
33,2
34,2
35,2
36,2
37,2
38,1
39,1
40,2
41,1
42,1
43,2
44,1
45,2
46,2
47,2
48,2
49,2
50,1
51,1
52,2
53,1
54,2
55,1
56,1
57,2
58,1
59,2
60,2
61,1
62,1
63,1
64,2
65,1
66,1
67,1
68,1
69,1
70,2
71,2
72,2
73,2
74,1
75,1
76,2
77,1
78,1
79,1
80,1
81,1
82,1
83,1
84,2
85,1
86,1
87,2
88,2
89,1
90,2
91,2
92,1
93,1
94,2
95,2
96,2
97,2
98,2
99,1
100,2
101,1
102,1
103,2
104,1
105,2
106,2
107,2
108,2
109,2
110,1
111,1
112,2
113,2
114,2
115,2
116,1
117,2
118,2
119,1
120,2
121,2
122,2
123,1
124,1
125,1
126,2
127,1
128,1
129,2
130,2
131,2
132,2
133,2
134,1
135,1
136,1
137,2
138,1
139,1
140,2
141,2
142,2
143,1
144,2
145,2
146,2
147,2
148,2
149,2
150,2
151,2
152,2
153,1
154,2
155,1
156,1
157,1
158,2
159,2
160,1
161,2
162,2
163,2
164,1
165,2
166,2
167,1
168,1
169,2
170,2
171,1
172,1
173,2
174,1
175,2
176,2
177,1
178,1
179,2
180,1
181,2
182,2
183,2
184,2
185,1
186,1
187,1
188,2
189,1
190,2
191,1
192,1
193,2
194,1
195,2
196,1
197,2
198,2
199,2
200,2
201,1
202,1
203,1
204,2
205,1
206,1
207,1
208,1
209,2
210,1
211,1
212,1
213,2
214,1
215,2
216,1
217,2
218,1
219,1
220,2
221,2
222,2
223,1
224,1
225,2
226,1
227,2
228,2
229,1
230,1
231,1
232,2
233,2
234,2
235,2
236,1
237,1
238,1
239,1
240,1
241,2
242,2
243,2
244,1
245,1
246,2
247,2
248,1
249,1
250,2
251,2
252,2
253,2
254,1
255,2
256,1
257,1
258,2
259,1
260,2
261,1
262,1
263,2
264,1
265,2
266,1
267,2
268,1
269,2
270,1
271,1
272,2
273,1
274,1
275,2
276,1
277,2
278,2
279,2
280,2
281,1
282,2
283,1
284,2
285,1
286,1
287,1
288,1
289,1
290,2
291,1
292,2
293,1
294,1
295,1
296,1
297,2
298,2
299,1
300,1
301,2
302,2
303,2
304,2
305,2
306,2
307,2
308,2
309,2
310,2
311,1
312,2
313,2
314,1
315,1
316,1
317,2
318,1
319,2
320,2
321,1
322,2
323,1
324,1
325,2
326,1
327,1
328,1
329,1
330,2
331,2
332,2
333,2
334,2
335,2
336,2
337,1
338,2
339,2
340,1
341,2
342,1
343,2
344,2
345,1
346,1
347,1
348,2
349,2
350,2
351,1
352,1
353,1
354,2
355,2
356,2
357,1
358,2
359,1
360,1
361,2
362,2
363,1
364,1
365,2
366,2
367,1
368,1
369,1
370,1
371,1
372,1
373,1
374,2
375,2
376,2
377,2
378,1
379,2
380,1
381,2
382,1
383,1
384,2
385,2
386,2
387,2
388,2
389,2
390,2
391,2
392,1
393,2
394,2
395,1
396,1
397,1
398,2
399,1
400,1
401,2
402,2
403,1
404,2
405,1
406,1
407,2
408,1
409,2
410,2
411,2
412,2
413,1
414,1
415,2
416,1
417,1
418,1
419,1
420,2
421,2
422,2
423,1
424,1
425,2
426,2
427,2
428,1
429,1
430,2
431,2
432,2
433,1
434,1
435,2
436,2
437,2
438,2
439,2
440,1
441,2
442,2
443,2
444,2
445,2
446,1
447,1
448,2
449,1
450,2
451,1
452,2
453,2
454,2
455,2
456,1
457,1
458,2
459,1
460,1
461,1
462,1
463,2
464,1
465,1
466,2
467,2
468,2
469,2
470,2
471,1
472,2
473,2
474,1
475,2
476,1
477,1
478,2
479,2
480,2
481,1
482,1
483,2
484,1
485,1
486,1
487,1
488,2
489,2
490,2
491,1
492,1
493,2
494,1
495,1
496,1
497,2
498,2
499,2
500,1
501,2
502,2
503,2
504,2
505,2
506,2
507,1
508,2
509,2
510,1
511,2
512,1
513,1
514,2
515,2
516,1
517,2
518,2
519,2
520,2
521,2
522,1
523,2
524,1
525,2
526,2
527,2
528,1
529,1
530,1
531,2
532,1
533,2
534,2
535,2
536,1
537,2
538,1
539,2
540,2
541,2
542,2
543,1
544,2
545,2
546,2
547,1
548,2
549,2
550,2
551,1
552,1
553,2
554,2
555,1
556,1
557,1
558,1
559,2
560,2
561,2
562,1
563,1
564,2
565,2
566,2
567,1
568,1
569,1
570,1
571,1
572,2
573,2
574,1
575,2
576,2
577,1
578,1
579,2
580,2
581,2
582,2
583,2
584,2
585,1
586,2
587,1
588,2
589,1
590,1
591,1
592,2
593,2
594,1
595,2
596,2
597,2
598,2
599,2
600,1
601,2
602,2
603,2
604,1
605,2
606,2
607,2
608,1
609,1
610,2
611,2
612,2
613,1
614,2
615,2
616,1
617,1
618,2
619,2
620,2
621,2
622,2
623,1
624,1
625,2
626,2
627,1
628,2
629,1
630,2
631,2
632,1
633,2
634,1
635,1
636,1
637,2
638,2
639,2
640,1
641,1
642,2
643,2
644,1
645,2
646,1
647,2
648,1
649,1
650,2
651,1
652,2
653,2
654,2
655,2
656,2
657,1
658,2
659,2
660,1
661,1
662,2
663,2
664,1
665,2
666,2
667,2
668,2
669,1
670,1
671,1
672,2
673,1
674,1
675,2
676,2
677,2
678,1
679,1
680,1
681,2
682,2
683,1
684,1
685,1
686,2
687,1
688,2
689,1
690,1
691,2
692,2
693,2
694,1
695,1
696,1
697,1
698,2
699,2
700,2
701,1
702,1
703,2
704,2
705,2
706,2
707,1
708,1
709,2
710,1
711,1
712,1
713,2
714,1
715,1
716,1
717,1
718,2
719,2
720,1
721,2
722,1
723,1
724,2
725,2
726,2
727,1
728,1
