Id,EpiOrStroma
0,1
1,1
2,1
3,0
4,1
5,1
6,1
7,1
8,1
9,1
10,1
11,1
12,2
13,0
14,2
15,1
16,2
17,1
18,2
19,1
20,0
21,1
22,1
23,0
24,1
25,0
26,1
27,1
28,0
29,1
30,1
31,2
32,2
33,0
34,0
35,2
36,1
37,0
38,2
39,0
40,1
41,1
42,0
43,1
44,0
45,1
46,0
47,0
48,1
49,1
50,2
51,0
52,2
53,1
54,1
55,1
56,1
57,0
58,1
59,1
60,2
61,0
62,0
63,1
64,1
65,1
66,1
67,0
68,0
69,1
70,0
71,2
72,1
73,1
74,0
75,2
76,1
77,1
78,2
79,2
80,1
81,0
82,1
83,0
84,0
85,0
86,1
87,1
88,1
89,0
90,2
91,0
92,0
93,1
94,2
95,1
96,2
97,2
98,1
99,0
100,0
101,1
102,0
103,0
104,0
105,1
106,1
107,2
108,1
109,0
110,1
111,1
112,2
113,1
114,0
115,0
116,1
117,2
118,0
119,1
120,2
121,2
122,0
123,1
124,0
125,1
126,1
127,0
128,0
129,1
130,1
131,0
132,2
133,2
134,0
135,0
136,1
137,1
138,1
139,1
140,1
141,0
142,1
143,1
144,2
145,1
146,1
147,0
148,1
149,1
150,0
151,2
152,1
153,0
154,2
155,0
156,0
157,0
158,1
159,1
160,0
161,1
162,2
163,0
164,1
165,1
166,0
167,1
168,0
169,1
170,0
171,0
172,1
173,0
174,1
175,1
176,2
177,1
178,1
179,1
180,1
181,1
182,2
183,2
184,1
185,1
186,1
187,1
188,2
189,0
190,1
191,1
192,0
193,2
194,0
195,2
196,0
197,2
198,1
199,2
200,0
201,1
202,0
203,0
204,2
205,0
206,0
207,1
208,1
209,1
210,1
211,1
212,1
213,1
214,0
215,1
216,1
217,2
218,1
219,1
220,2
221,2
222,2
223,1
224,1
225,0
226,0
227,1
228,2
229,0
230,0
231,1
232,1
233,2
234,1
235,2
236,0
237,2
238,0
239,1
240,1
241,1
242,1
243,2
244,0
245,0
246,1
247,0
248,1
249,1
250,3
251,0
252,0
253,0
254,1
255,2
256,1
257,1
258,2
259,2
260,1
261,1
262,1
263,1
264,0
265,1
266,1
267,1
268,1
269,1
270,1
271,2
272,2
273,0
274,0
275,0
276,1
277,1
278,1
279,2
280,0
281,1
282,2
283,0
284,0
285,-1
286,1
287,0
288,1
289,1
290,0
291,1
292,0
293,1
294,1
295,1
296,1
297,1
298,1
299,1
300,0
301,2
302,1
303,1
304,1
305,1
306,2
307,0
308,1
309,1
310,1
311,0
312,0
313,0
314,0
315,0
316,0
317,1
318,1
319,2
320,0
321,1
322,1
323,0
324,1
325,2
326,1
327,0
328,1
329,0
330,1
331,0
332,1
333,1
334,2
335,1
336,1
337,1
338,2
339,1
340,1
341,0
342,2
343,0
344,1
345,0
346,2
347,0
348,1
349,1
350,2
351,1
352,1
353,0
354,2
355,2
356,1
357,0
358,1
359,1
360,1
361,1
362,1
363,0
364,0
365,0
366,2
367,0
368,0
369,1
370,0
371,2
372,0
373,1
374,1
375,1
376,1
377,1
378,0
379,0
380,0
381,0
382,1
383,1
384,2
385,1
386,1
387,2
388,1
389,2
390,1
391,2
392,0
393,2
394,1
395,1
396,0
397,0
398,2
399,1
400,0
401,1
402,1
403,0
404,1
405,0
406,0
407,1
408,0
409,1
410,1
411,2
412,2
413,0
414,0
415,1
416,2
417,1
418,0
419,1
420,1
421,1
422,1
423,1
424,1
425,1
426,2
427,2
428,0
429,2
430,2
431,1
432,1
433,1
434,2
435,0
436,1
437,1
438,1
439,2
440,1
441,1
442,2
443,2
444,1
445,2
446,2
447,1
448,1
449,1
450,1
451,2
452,1
453,0
454,1
455,1
456,1
457,1
458,1
459,1
460,1
461,1
462,1
463,2
464,0
465,0
466,0
467,0
468,1
469,2
470,0
471,0
472,1
473,1
474,1
475,2
476,1
477,1
478,0
479,1
480,2
481,1
482,0
483,1
484,2
485,1
486,0
487,1
488,2
489,1
490,1
491,1
492,0
493,0
494,1
495,0
496,1
497,1
498,2
499,0
500,0
501,0
502,1
503,1
504,1
505,1
506,1
507,2
508,1
509,2
510,1
511,1
512,1
513,0
514,1
515,0
516,0
517,2
518,1
519,1
520,2
521,1
522,1
523,2
524,1
525,2
526,1
527,2
528,1
529,1
530,1
531,0
532,1
533,0
534,2
535,1
536,1
537,2
538,0
539,1
540,0
541,2
542,1
543,0
544,1
545,2
546,2
547,1
548,1
549,1
550,0
551,1
552,0
553,0
554,2
555,1
556,0
557,0
558,0
559,1
560,2
561,2
562,0
563,1
564,1
565,2
566,2
567,0
568,1
569,0
570,0
571,1
572,0
573,1
574,1
575,0
576,1
577,0
578,1
579,2
580,1
581,2
582,2
583,2
584,1
585,1
586,2
587,1
588,2
589,1
590,1
591,2
592,2
593,2
594,1
595,0
596,1
597,0
598,2
599,0
600,0
601,0
602,2
603,0
604,1
605,1
606,1
607,1
608,1
609,1
610,1
611,1
612,2
613,1
614,2
615,2
616,0
617,1
618,1
619,1
620,1
621,2
622,0
623,1
624,0
625,1
626,0
627,1
628,1
629,0
630,1
631,1
632,1
633,1
634,1
635,1
636,0
637,1
638,0
639,2
640,0
641,0
642,1
643,1
644,1
645,0
646,0
647,1
648,0
649,1
650,2
651,0
652,2
653,2
654,1
655,1
656,0
657,0
658,1
659,0
660,1
661,1
662,1
663,1
664,1
665,1
666,1
667,1
668,1
669,1
670,1
671,1
672,0
673,0
674,2
675,2
676,0
677,1
678,1
679,1
680,1
681,1
682,2
683,1
684,0
685,1
686,1
687,1
688,0
689,1
690,0
691,2
692,1
693,0
694,1
695,1
696,0
697,1
698,2
699,2
700,2
701,0
702,1
703,0
704,1
705,1
706,1
707,1
708,0
709,1
710,0
711,0
712,0
713,2
714,0
715,1
716,1
717,1
718,1
719,2
720,1
721,2
722,1
723,1
724,2
725,1
726,1
727,1
728,1
729,1
730,1
731,0
732,1
733,2
734,0
735,0
736,1
737,0
738,2
739,1
740,2
741,0
742,0
743,1
744,2
745,2
746,0
747,2
748,2
749,2
750,2
751,0
752,2
753,2
754,2
755,2
756,0
757,1
758,0
759,2
760,1
761,1
762,2
763,1
764,0
765,0
766,2
767,0
768,0
769,1
770,1
771,1
772,0
773,1
774,0
775,0
776,2
777,1
778,1
779,1
780,1
781,1
782,2
783,0
784,1
785,1
786,1
787,1
788,1
789,0
790,1
791,1
792,0
793,1
794,1
795,2
796,1
797,0
