Id,PRP
0,40.691591
1,137.892336
2,22.721344
3,277.347612
4,47.113104
5,17.290898
6,65.706199
7,16.281108
8,41.087643
9,16.933436
10,55.139081
11,17.469407
12,203.748901
13,38.168105
14,127.757531
15,29.372273
16,27.931764
17,38.576078
18,26.263386
19,114.811195
20,73.604307
21,13.626281
22,57.865797
23,23.331440
24,137.903623
25,102.833401
26,69.906244
27,281.608437
28,13.589547
29,214.800738
30,108.108410
31,10.256805
32,57.607868
33,151.761576
34,43.616437
35,345.316350
36,11.252344
37,281.608437
38,34.461212
39,30.675921
40,108.108410
