Id,EpiOrStroma
0,-1043
1,1
2,1
3,1
4,1
5,1
6,1
7,1
8,1
9,1
10,0
11,1
12,3
13,0
14,2
15,0
16,1
17,1
18,3
19,1
20,1
21,1
22,0
23,0
24,1
25,0
26,1
27,0
28,0
29,1
30,1
31,2
32,1
33,0
34,0
35,2
36,1
37,1
38,2
39,0
40,2
41,1
42,0
43,0
44,1
45,2
46,0
47,0
48,1
49,2
50,2
51,2
52,2
53,1
54,2
55,1
56,1
57,0
58,1
59,1
60,3
61,0
62,1
63,1
64,0
65,2
66,1
67,0
68,0
69,0
70,0
71,3
72,0
73,1
74,0
75,2
76,1
77,1
78,2
79,-1221
80,1
81,1
82,1
83,0
84,1
85,0
86,0
87,0
88,0
89,1
90,1
91,-2
92,1
93,0
94,3
95,1
96,2
97,2
98,0
99,-2328
100,0
101,1
102,0
103,0
104,0
105,2
106,1
107,2
108,1
109,1
110,1
111,1
112,1
113,2
114,1
115,0
116,0
117,2
118,-1
119,1
120,2
121,1
122,0
123,1
124,0
125,1
126,2
127,1
128,0
129,0
130,1
131,0
132,2
133,2
134,1
135,1
136,1
137,1
138,1
139,2
140,0
141,0
142,2
143,1
144,2
145,1
146,2
147,0
148,0
149,2
150,0
151,1
152,0
153,1
154,3
155,1
156,0
157,0
158,2
159,2
160,0
161,0
162,2
163,0
164,1
165,1
166,0
167,1
168,0
169,0
170,0
171,0
172,1
173,0
174,2
175,0
176,2
177,0
178,0
179,1
180,1
181,1
182,2
183,2
184,1
185,1
186,2
187,1
188,2
189,0
190,1
191,3
192,0
193,2
194,1
195,2
196,1
197,2
198,0
199,3
200,0
201,1
202,0
203,0
204,2
205,0
206,1
207,1
208,1
209,1
210,1
211,0
212,0
213,0
214,0
215,2
216,1
217,2
218,1
219,1
220,2
221,2
222,-225
223,1
224,1
225,1
226,1
227,1
228,2
229,0
230,0
231,1
232,1
233,2
234,1
235,2
236,1
237,1
238,1
239,0
240,1
241,0
242,1
243,1
244,1
245,0
246,1
247,1
248,1
249,0
250,3
251,0
252,0
253,0
254,1
255,2
256,2
257,1
258,2
259,1
260,0
261,2
262,0
263,-53
264,0
265,1
266,1
267,1
268,2
269,0
270,2
271,2
272,2
273,0
274,0
275,0
276,1
277,0
278,1
279,3
280,0
281,1
282,2
283,1
284,0
285,-3
286,1
287,0
288,1
289,1
290,0
291,1
292,1
293,0
294,0
295,2
296,1
297,1
298,0
299,-1039
300,0
301,2
302,1
303,2
304,0
305,1
306,2
307,0
308,0
309,2
310,1
311,1
312,0
313,0
314,1
315,0
316,0
317,1
318,1
319,2
320,0
321,1
322,1
323,1
324,1
325,3
326,1
327,0
328,1
329,1
330,1
331,0
332,1
333,1
334,1
335,1
336,0
337,0
338,2
339,0
340,1
341,1
342,1
343,0
344,0
345,1
346,2
347,0
348,1
349,0
350,2
351,1
352,1
353,0
354,4
355,3
356,0
357,0
358,2
359,1
360,0
361,1
