Id,EpiOrStroma
0,1
1,1
2,1
3,1
4,2
5,2
6,1
7,2
8,1
9,1
10,1
11,2
12,2
13,1
14,2
15,1
16,1
17,1
18,2
19,1
20,2
21,2
22,1
23,1
24,1
25,1
26,1
27,1
28,1
29,1
30,2
31,2
32,2
33,1
34,1
35,2
36,2
37,1
38,2
39,1
40,2
41,2
42,1
43,1
44,1
45,2
46,1
47,1
48,1
49,2
50,2
51,2
52,2
53,1
54,2
55,1
56,1
57,1
58,1
59,1
60,2
61,1
62,1
63,2
64,1
65,2
66,1
67,1
68,1
69,1
70,1
71,2
72,1
73,2
74,1
75,2
76,2
77,1
78,2
79,1
80,1
81,1
82,2
83,1
84,2
85,1
86,1
87,1
88,1
89,1
90,2
91,1
92,1
93,1
94,2
95,1
96,2
97,2
98,1
99,1
100,1
101,2
102,1
103,1
104,1
105,2
106,2
107,2
108,2
109,1
110,2
111,1
112,2
113,2
114,2
115,1
116,1
117,2
118,1
119,2
120,2
121,2
122,1
123,1
124,1
125,1
126,2
127,1
128,1
129,1
130,2
131,1
132,2
133,2
134,1
135,1
136,2
137,1
138,1
139,2
140,1
141,1
142,2
143,2
144,2
145,1
146,2
147,1
148,1
149,2
150,1
151,2
152,1
153,1
154,2
155,1
156,1
157,1
158,2
159,2
160,1
161,1
162,2
163,1
164,2
165,2
166,1
167,1
168,1
169,1
170,1
171,1
172,1
173,1
174,2
175,1
176,2
177,1
178,1
179,2
180,1
181,1
182,2
183,2
184,1
185,1
186,2
187,1
188,2
189,1
190,1
191,2
192,1
193,2
194,1
195,2
196,1
197,2
198,1
199,2
200,1
201,1
202,1
203,1
204,2
205,1
206,1
207,1
208,2
209,2
210,2
211,1
212,1
213,1
214,1
215,2
216,1
217,2
218,2
219,1
220,2
221,2
222,1
223,2
224,1
225,1
226,1
227,1
228,2
229,1
230,1
231,2
232,2
233,2
234,2
235,2
236,1
237,2
238,2
239,1
240,2
241,1
242,2
243,2
244,1
245,1
246,1
247,1
248,1
249,1
250,2
251,1
252,1
253,1
254,1
255,2
256,2
257,2
258,2
259,2
260,1
261,2
262,1
263,1
264,1
265,2
266,1
267,2
268,2
269,1
270,2
271,2
272,2
273,1
274,1
275,1
276,2
277,1
278,1
279,2
280,1
281,2
282,2
283,2
284,1
285,1
286,2
287,1
288,1
289,2
290,1
291,1
292,1
293,1
294,1
295,2
296,1
297,2
298,1
299,1
300,1
301,2
302,1
303,2
304,1
305,2
306,2
307,1
308,1
309,2
310,1
311,2
312,1
313,1
314,1
315,1
316,1
317,1
318,2
319,2
320,1
321,2
322,2
323,1
324,1
325,2
326,1
327,1
328,2
329,1
330,1
331,1
332,1
333,2
334,2
335,2
336,1
337,1
338,2
339,1
340,2
341,1
342,1
343,1
344,1
345,1
346,2
347,1
348,1
349,1
350,2
351,1
352,2
353,1
354,2
355,2
356,1
357,1
358,2
359,1
360,1
361,2
362,2
363,1
364,1
365,1
366,2
367,2
368,1
369,1
370,1
371,2
372,1
373,2
374,1
375,2
376,2
377,1
378,1
379,1
380,1
381,1
382,1
383,2
384,2
385,2
386,2
387,2
388,1
389,2
390,1
391,2
392,1
393,2
394,1
395,2
396,1
397,1
398,2
399,2
400,2
401,2
402,2
403,1
404,2
405,2
406,1
407,2
408,1
409,1
410,1
411,1
412,2
413,1
414,1
415,1
416,2
417,1
418,1
419,2
420,1
421,2
422,1
423,2
424,1
425,2
426,2
427,1
428,1
429,2
430,2
431,2
432,2
433,2
434,2
435,1
436,1
437,2
438,2
439,2
440,1
441,2
442,2
443,2
444,2
445,2
446,2
447,1
448,2
449,2
450,1
451,1
452,2
453,2
454,1
455,1
456,1
457,2
458,1
459,1
460,1
461,2
462,2
463,2
464,2
465,1
466,1
467,1
468,1
469,2
470,1
471,2
472,2
473,2
474,2
475,2
476,2
477,2
478,1
479,2
480,2
481,1
482,1
483,2
484,2
485,2
486,1
487,1
488,2
489,2
490,2
491,1
492,1
493,2
494,2
495,2
496,2
497,1
498,1
499,1
500,1
501,1
502,1
503,1
504,2
505,1
506,1
507,2
508,2
509,2
510,1
511,1
512,1
513,1
514,1
515,1
516,1
517,2
518,2
519,1
520,2
521,2
522,1
523,2
524,2
525,2
526,2
527,2
528,1
529,1
530,2
531,1
532,1
533,1
534,1
535,1
536,2
537,2
538,1
539,1
540,2
541,2
542,2
543,1
544,1
545,2
546,2
547,2
548,2
549,2
550,1
551,1
552,1
553,1
554,2
555,1
556,1
557,1
558,1
559,1
560,2
561,2
562,1
563,1
564,2
565,2
566,2
567,1
568,2
569,1
570,2
571,2
572,1
573,2
574,2
575,1
576,1
577,1
578,1
579,2
580,2
581,2
582,2
583,2
584,2
585,2
586,2
587,2
588,2
589,1
590,1
591,2
592,2
593,2
594,2
595,1
596,2
597,1
598,2
599,1
600,2
601,1
602,2
603,1
604,2
605,1
606,1
607,1
608,1
609,2
610,1
611,1
612,2
613,2
614,2
615,2
616,1
617,2
618,1
619,2
620,1
621,2
622,1
623,1
624,1
625,1
626,1
627,2
628,1
629,2
630,2
631,1
632,1
633,2
634,2
635,1
636,1
637,2
638,1
639,2
640,1
641,2
642,1
643,2
644,1
645,1
646,2
647,1
648,1
649,1
650,2
651,1
652,2
653,2
654,1
655,2
656,1
657,1
658,2
659,1
660,2
661,1
662,1
663,2
664,1
665,1
666,1
667,2
668,1
669,2
670,2
671,2
672,1
673,1
674,2
675,2
676,1
677,2
678,1
679,1
680,2
681,2
682,2
683,1
684,1
685,1
686,2
687,2
688,1
689,1
690,1
691,2
692,1
693,1
694,2
695,1
696,2
697,2
698,2
699,2
700,2
701,1
702,2
703,1
704,1
705,1
706,2
707,2
708,1
709,1
710,1
711,1
712,1
713,2
714,2
715,1
716,1
717,1
718,2
719,2
720,2
721,2
722,2
723,2
724,2
725,2
726,1
727,1
728,1
729,1
730,1
731,1
732,1
733,2
734,1
735,1
736,2
737,2
738,2
739,1
740,2
741,1
742,1
743,1
744,2
745,2
746,1
747,2
748,2
749,2
750,2
751,1
752,2
753,2
754,2
755,2
756,1
757,1
758,1
759,2
760,1
761,1
762,2
763,2
764,1
765,1
766,2
767,1
768,1
769,2
770,1
771,1
772,1
773,1
774,1
775,1
776,1
777,2
778,2
779,1
780,1
781,1
782,2
783,1
784,2
785,1
786,2
787,1
788,1
789,1
790,2
791,1
792,1
793,1
794,2
795,2
796,2
797,2
