Id,PRP
0,54.827674
1,177.402063
2,29.504497
3,312.962256
4,34.119940
5,9.289300
6,62.843573
7,-18.877488
8,39.986075
9,-4.210818
10,86.798923
11,4.661153
12,278.455367
13,22.828154
14,160.650761
15,13.099763
16,25.769029
17,15.174626
18,4.200400
19,145.053005
20,68.581067
21,-14.791535
22,45.002484
23,24.939446
24,177.021517
25,119.205404
26,72.177285
27,440.946254
28,-13.925134
29,239.274825
30,119.158410
31,13.100571
32,54.835850
33,178.280878
34,40.178167
35,542.879568
36,10.008765
37,440.946254
38,21.584061
39,13.768246
40,119.158410
